Processando                   Lista de processos
    Id[1]              [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
    Id[2]              [2, 3, 4, 5, 6, 7, 8, 9, 10, 1]
    Id[3]              [3, 4, 5, 6, 7, 8, 9, 10, 1, 2]
    Id[4]              [4, 5, 6, 7, 8, 9, 10, 1, 2, 3]
    Id[5]              [5, 6, 7, 8, 9, 10, 1, 2, 3, 4] pcb do Id[5] será removida.
    Id[6]              [6, 7, 8, 9, 10, 1, 2, 3, 4]
    Id[7]              [7, 8, 9, 10, 1, 2, 3, 4, 6]
    Id[8]              [8, 9, 10, 1, 2, 3, 4, 6, 7]
    Id[9]              [9, 10, 1, 2, 3, 4, 6, 7, 8]
    Id[10]              [10, 1, 2, 3, 4, 6, 7, 8, 9] pcb do Id[10] será removida.
    Id[1]              [1, 2, 3, 4, 6, 7, 8, 9]
    Id[2]              [2, 3, 4, 6, 7, 8, 9, 1] pcb do Id[2] será removida.
    Id[3]              [3, 4, 6, 7, 8, 9, 1]
    Id[4]              [4, 6, 7, 8, 9, 1, 3]
    Id[6]              [6, 7, 8, 9, 1, 3, 4]
    Id[7]              [7, 8, 9, 1, 3, 4, 6]
    Id[8]              [8, 9, 1, 3, 4, 6, 7]
    Id[9]              [9, 1, 3, 4, 6, 7, 8] pcb do Id[9] será removida.
    Id[1]              [1, 3, 4, 6, 7, 8] pcb do Id[1] será removida.
    Id[3]              [3, 4, 6, 7, 8]
    Id[4]              [4, 6, 7, 8, 3] pcb do Id[4] será removida.
    Id[6]              [6, 7, 8, 3]
    Id[7]              [7, 8, 3, 6]
    Id[8]              [8, 3, 6, 7] pcb do Id[8] será removida.
    Id[3]              [3, 6, 7] pcb do Id[3] será removida.
    Id[6]              [6, 7]
    Id[7]              [7, 6]
    Id[6]              [6, 7]
    Id[7]              [7, 6] pcb do Id[7] será removida.
    Id[6]              [6]
    Id[6]              [6]
    Id[6]              [6] pcb do Id[6] será removida.
Tempo médio de resposta: 101
Ocorreu 32 trocas de contexto
